district,subdivisions,blocks,municipalities,towns,villages,wards,localities,coordinate_coverage_count,coordinate_coverage_rate,census_crosswalk_count,osm_coverage_count,survey_prior_count,search_sample,search_result,analysis_smoke_result,analysis_selected_candidate,known_limitations
Alipurduar,0,6,1,0,354,20,374,20,0.053475935828877004,346,20,46,Alinagar,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Bankura,0,22,3,0,3464,58,3522,38,0.010789324247586598,157,38,46,Abantika,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Birbhum,0,19,6,0,2251,99,2350,400,0.1702127659574468,29,400,46,Abadnagar,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Cooch Behar,0,12,6,0,1142,77,1219,11,0.009023789991796555,8,11,46,Abas Ratanpur,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Dakshin Dinajpur,0,8,3,0,1545,54,1599,18,0.01125703564727955,13,18,44,Abail,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Darjeeling,0,9,5,0,537,118,655,6,0.00916030534351145,2,6,46,Abhiram,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Hooghly,0,18,13,0,1907,300,2207,24,0.010874490258269144,0,24,46,Abdulpur,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Howrah,0,14,2,0,779,98,877,13,0.014823261117445839,0,13,46,AKNA,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Jalpaiguri,0,7,3,0,408,57,465,71,0.15268817204301074,1,71,46,Adabari,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Jhargram,0,8,1,0,2363,17,2380,13,0.0054621848739495795,2600,13,44,Adargeria,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Kalimpong,0,3,1,0,104,21,125,0,0.0,104,0,36,Algarah Bazer D.I.F.,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Kolkata,0,0,1,0,0,142,142,0,0.0,0,0,24,Kolkata (M Corp.) - Ward No.1,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Malda,0,15,2,0,1634,42,1676,36,0.021479713603818614,16,36,46,Adampur,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Murshidabad,0,26,8,0,1932,145,2077,28,0.013480982185844969,28,28,46,Abhla,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Nadia,0,17,11,0,1270,201,1471,47,0.03195105370496261,16,47,46,Abhaynagar,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
North 24 Parganas,0,22,27,0,1571,665,2236,34,0.01520572450805009,3,34,46,Abhirampur (P),PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Paschim Bardhaman,0,8,2,0,384,92,476,8,0.01680672268907563,384,8,46,AMDAHI,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Paschim Medinipur,0,21,8,0,4908,119,5027,15,0.002983887010145216,471,15,46,Abasgarh,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Purba Bardhaman,0,23,11,0,2120,207,2327,87,0.03738719381177482,2129,87,46,Abhirampur,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Purba Medinipur,0,25,5,0,2907,99,3006,18,0.005988023952095809,73,18,46,Abas Berya,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Purulia,0,20,3,0,2433,48,2481,26,0.010479645304312777,104,26,46,Achkoda,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
South 24 Parganas,0,29,7,0,2082,148,2230,1966,0.8816143497757848,17,1966,46,Abad Bhagabanpur,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
Uttar Dinajpur,0,9,4,0,1476,76,1552,182,0.1172680412371134,5,182,46,Abdulghata,PASS,CONDITIONAL,True,"Current product hierarchy is DS057-derived, not a complete official LGD extract; coordinate and exact Census crosswalk coverage are partial."
